,date,temp,dew_pt,hum,wind_spd,wind_gust,dir,vis,pressure,wind_chill,heat_index,precip,precip_rate,precip_total,cond,fog,rain,snow,hail,thunder,tornado
96,13-01-2018 14:30,81,69,59,4.6,NA,East,2,29.91,NA,NA,NA,NA,NA,,0,0,0,0,0,0
97,13-01-2018 17:30,77,69,69,2.3,NA,ESE,2,29.91,NA,NA,NA,NA,NA,,0,0,0,0,0,0
98,13-01-2018 20:30,73,70,87,0,NA,,2,29.95,NA,NA,NA,NA,NA,Haze,0,0,0,0,0,0
99,13-01-2018 23:30,70,70,98,2.3,NA,NW,1,29.94,NA,NA,NA,NA,NA,Haze,0,0,0,0,0,0
100,14-01-2018 02:30,68,67,97,4.6,NA,NW,1,29.92,NA,NA,NA,NA,NA,Haze,0,0,0,0,0,0
101,14-01-2018 05:30,64,61,87,4.6,NA,NW,1,29.94,NA,NA,NA,NA,NA,Haze,0,0,0,0,0,0
102,14-01-2018 08:30,65,62,86,4.6,NA,NNW,1,30.01,NA,NA,NA,NA,NA,Haze,0,0,0,0,0,0
103,14-01-2018 11:30,79,61,45,4.6,NA,ENE,2,30.01,NA,NA,NA,NA,NA,,0,0,0,0,0,0
104,14-01-2018 14:30,82,64,45,4.6,NA,ENE,2,29.92,NA,NA,NA,NA,NA,,0,0,0,0,0,0
105,14-01-2018 17:30,77,69,69,3.5,NA,ENE,2,29.92,NA,NA,NA,NA,NA,,0,0,0,0,0,0
106,14-01-2018 20:30,73,68,80,0,NA,,2,29.99,NA,NA,NA,NA,NA,Haze,0,0,0,0,0,0
107,15-01-2018 02:30,66,63,88,2.3,NA,NW,1,29.97,NA,NA,NA,NA,NA,Haze,0,0,0,0,0,0
108,15-01-2018 05:30,64,61,88,2.3,NA,NW,1,29.97,NA,NA,NA,NA,NA,Haze,0,0,0,0,0,0
109,15-01-2018 08:30,65,63,90,3.5,NA,NNW,1,30.04,NA,NA,NA,NA,NA,Mist,0,0,0,0,0,0
110,15-01-2018 11:30,77,65,59,3.5,NA,North,2,29.99,NA,NA,NA,NA,NA,Haze,0,0,0,0,0,0
111,15-01-2018 14:30,82,71,61,3.5,NA,East,2,29.87,NA,NA,NA,NA,NA,,0,0,0,0,0,0
112,15-01-2018 17:30,76,71,79,4.6,NA,South,2,29.87,NA,NA,NA,NA,NA,,0,0,0,0,0,0
113,15-01-2018 20:30,72,68,83,0,NA,,2,29.94,NA,NA,NA,NA,NA,Haze,0,0,0,0,0,0
114,15-01-2018 23:30,68,65,87,0,NA,,1,29.96,NA,NA,NA,NA,NA,Haze,0,0,0,0,0,0
115,16-01-2018 02:30,66,63,87,2.3,NA,NNW,1,29.93,NA,NA,NA,NA,NA,Haze,0,0,0,0,0,0
116,16-01-2018 05:30,62,59,87,4.6,NA,NNW,1,29.92,NA,NA,NA,NA,NA,Haze,0,0,0,0,0,0
117,16-01-2018 08:30,62,57,80,4.6,NA,NNW,2,29.98,NA,NA,NA,NA,NA,Haze,0,0,0,0,0,0
118,16-01-2018 11:30,78,69,68,2.3,NA,SE,2,29.97,NA,NA,NA,NA,NA,,0,0,0,0,0,0
119,16-01-2018 14:30,83,73,64,6.9,NA,East,2,29.87,NA,NA,NA,NA,NA,,0,0,0,0,0,0
120,16-01-2018 17:30,77,71,78,4.6,NA,East,2,29.87,NA,NA,NA,NA,NA,,0,0,0,0,0,0
121,16-01-2018 20:30,73,69,85,0,NA,,2,29.93,NA,NA,NA,NA,NA,Haze,0,0,0,0,0,0
122,16-01-2018 23:30,68,66,90,2.3,NA,NNW,1,29.93,NA,NA,NA,NA,NA,Haze,0,0,0,0,0,0
123,17-01-2018 02:30,66,64,90,2.3,NA,NNW,1,29.91,NA,NA,NA,NA,NA,Haze,0,0,0,0,0,0
124,17-01-2018 05:30,64,62,90,4.6,NA,NNW,1,29.9,NA,NA,NA,NA,NA,Mist,0,0,0,0,0,0
125,17-01-2018 08:30,66,64,91,4.6,NA,NNW,1,30,NA,NA,NA,NA,NA,Mist,0,0,0,0,0,0
126,17-01-2018 11:30,79,69,64,2.3,NA,NE,2,29.99,NA,NA,NA,NA,NA,Haze,0,0,0,0,0,0
127,17-01-2018 14:30,82,72,65,4.6,NA,East,2,29.9,NA,NA,NA,NA,NA,,0,0,0,0,0,0
128,17-01-2018 17:30,76,68,71,3.5,NA,SSE,2,29.89,NA,NA,NA,NA,NA,,0,0,0,0,0,0
129,17-01-2018 20:30,72,70,91,0,NA,,2,29.94,NA,NA,NA,NA,NA,Haze,0,0,0,0,0,0
130,17-01-2018 23:30,67,66,96,2.3,NA,NW,1,29.94,NA,NA,NA,NA,NA,Haze,0,0,0,0,0,0
131,18-01-2018 02:30,65,64,97,4.6,NA,NW,1,29.91,NA,NA,NA,NA,NA,Haze,0,0,0,0,0,0
132,18-01-2018 05:30,60,58,93,4.6,NA,NW,1,29.91,NA,NA,NA,NA,NA,Haze,0,0,0,0,0,0
133,18-01-2018 08:30,61,58,85,4.6,NA,NNW,1,30.01,NA,NA,NA,NA,NA,Haze,0,0,0,0,0,0
134,18-01-2018 11:30,78,66,58,2.3,NA,ENE,2,30,NA,NA,NA,NA,NA,,0,0,0,0,0,0
135,18-01-2018 14:30,81,67,53,4.6,NA,ENE,2,29.91,NA,NA,NA,NA,NA,,0,0,0,0,0,0
136,18-01-2018 17:30,77,65,58,2.3,NA,ESE,2,29.91,NA,NA,NA,NA,NA,,0,0,0,0,0,0
137,18-01-2018 20:30,71,65,78,0,NA,,2,29.95,NA,NA,NA,NA,NA,Haze,0,0,0,0,0,0
138,18-01-2018 23:30,66,63,87,4.6,NA,NW,1,29.95,NA,NA,NA,NA,NA,Haze,0,0,0,0,0,0
139,19-01-2018 02:30,64,61,87,2.3,NA,NW,1,29.92,NA,NA,NA,NA,NA,Haze,0,0,0,0,0,0
140,19-01-2018 05:30,61,58,85,2.3,NA,NW,1,29.96,NA,NA,NA,NA,NA,Haze,0,0,0,0,0,0
141,19-01-2018 08:30,60,58,89,4.6,NA,NW,1,30.01,NA,NA,NA,NA,NA,Haze,0,0,0,0,0,0
142,19-01-2018 11:30,79,65,54,4.6,NA,NE,2,30.01,NA,NA,NA,NA,NA,,0,0,0,0,0,0
143,19-01-2018 14:30,82,70,59,4.6,NA,East,2,29.93,NA,NA,NA,NA,NA,,0,0,0,0,0,0
144,19-01-2018 17:30,77,69,71,4.6,NA,ESE,2,29.92,NA,NA,NA,NA,NA,,0,0,0,0,0,0
145,19-01-2018 20:30,70,64,75,0,NA,,2,29.97,NA,NA,NA,NA,NA,,0,0,0,0,0,0
146,19-01-2018 23:30,65,61,84,0,NA,,1,29.97,NA,NA,NA,NA,NA,Haze,0,0,0,0,0,0
147,20-01-2018 02:30,63,60,86,2.3,NA,NNW,1,29.95,NA,NA,NA,NA,NA,Haze,0,0,0,0,0,0
148,20-01-2018 05:30,59,56,87,4.6,NA,NNW,1,29.96,NA,NA,NA,NA,NA,Haze,0,0,0,0,0,0
149,20-01-2018 08:30,60,58,89,4.6,NA,NNW,1,30,NA,NA,NA,NA,NA,Haze,0,0,0,0,0,0
150,20-01-2018 11:30,78,58,40,2.3,NA,East,2,29.99,NA,NA,NA,NA,NA,,0,0,0,0,0,0
151,20-01-2018 14:30,82,67,51,4.6,NA,East,2,29.91,NA,NA,NA,NA,NA,,0,0,0,0,0,0
152,20-01-2018 17:30,78,65,56,4.6,NA,East,2,29.89,NA,NA,NA,NA,NA,,0,0,0,0,0,0
153,20-01-2018 20:30,71,62,65,0,NA,,2,29.95,NA,NA,NA,NA,NA,,0,0,0,0,0,0
154,20-01-2018 23:30,68,60,70,2.3,NA,NW,2,29.94,NA,NA,NA,NA,NA,Haze,0,0,0,0,0,0
155,21-01-2018 02:30,65,61,83,2.3,NA,NNW,1,29.91,NA,NA,NA,NA,NA,Haze,0,0,0,0,0,0
156,21-01-2018 05:30,59,54,80,4.6,NA,NNW,1,29.92,NA,NA,NA,NA,NA,Haze,0,0,0,0,0,0
157,21-01-2018 08:30,62,57,79,6.9,NA,NNW,1,29.99,NA,NA,NA,NA,NA,Haze,0,0,0,0,0,0
158,21-01-2018 11:30,81,64,46,4.6,NA,East,2,29.96,NA,NA,NA,NA,NA,,0,0,0,0,0,0
159,21-01-2018 14:30,82,66,49,4.6,NA,East,2,29.88,NA,NA,NA,NA,NA,,0,0,0,0,0,0
160,21-01-2018 17:30,75,67,69,2.3,NA,East,2,29.88,NA,NA,NA,NA,NA,,0,0,0,0,0,0
161,21-01-2018 20:30,71,65,75,0,NA,,2,29.93,NA,NA,NA,NA,NA,,0,0,0,0,0,0
162,21-01-2018 23:30,69,63,76,2.3,NA,NW,2,29.93,NA,NA,NA,NA,NA,Haze,0,0,0,0,0,0
163,22-01-2018 02:30,67,63,83,4.6,NA,NW,1,29.9,NA,NA,NA,NA,NA,Haze,0,0,0,0,0,0
164,22-01-2018 05:30,62,57,79,4.6,NA,NW,1,29.88,NA,NA,NA,NA,NA,Haze,0,0,0,0,0,0
165,22-01-2018 08:30,63,57,75,4.6,NA,NNW,2,29.95,NA,NA,NA,NA,NA,Haze,0,0,0,0,0,0
166,22-01-2018 11:30,79,61,45,3.5,NA,SE,2,29.94,NA,NA,NA,NA,NA,,0,0,0,0,0,0
167,22-01-2018 14:30,81,65,48,4.6,NA,SSE,2,29.86,NA,NA,NA,NA,NA,,0,0,0,0,0,0
168,22-01-2018 17:30,76,64,58,2.3,NA,SSE,2,29.85,NA,NA,NA,NA,NA,,0,0,0,0,0,0
169,22-01-2018 20:30,72,63,65,0,NA,,2,29.91,NA,NA,NA,NA,NA,,0,0,0,0,0,0
170,22-01-2018 23:30,70,61,65,2.3,NA,NW,2,29.91,NA,NA,NA,NA,NA,,0,0,0,0,0,0
171,23-01-2018 02:30,67,59,70,2.3,NA,NW,2,29.88,NA,NA,NA,NA,NA,,0,0,0,0,0,0
172,23-01-2018 05:30,61,57,82,4.6,NA,NW,2,29.88,NA,NA,NA,NA,NA,Haze,0,0,0,0,0,0
173,23-01-2018 08:30,64,58,77,3.5,NA,NNW,2,29.94,NA,NA,NA,NA,NA,Haze,0,0,0,0,0,0
174,23-01-2018 11:30,78,62,48,3.5,NA,SSE,2,29.93,NA,NA,NA,NA,NA,,0,0,0,0,0,0
175,23-01-2018 14:30,82,64,44,3.5,NA,SSE,2,29.84,NA,NA,NA,NA,NA,,0,0,0,0,0,0
176,23-01-2018 17:30,77,63,52,4.6,NA,SSE,2,29.84,NA,NA,NA,NA,NA,,0,0,0,0,0,0
177,23-01-2018 20:30,74,62,58,5.8,NA,South,2,29.87,NA,NA,NA,NA,NA,,0,0,0,0,0,0
178,23-01-2018 23:30,70,63,73,3.5,NA,West,2,29.86,NA,NA,NA,NA,NA,,0,0,0,0,0,0
179,24-01-2018 02:30,66,61,80,2.3,NA,NNW,1,29.84,NA,NA,NA,NA,NA,Haze,0,0,0,0,0,0
180,24-01-2018 05:30,63,59,83,4.6,NA,NNW,1,29.85,NA,NA,NA,NA,NA,Haze,0,0,0,0,0,0
181,24-01-2018 08:30,66,60,77,2.3,NA,NW,1,29.91,NA,NA,NA,NA,NA,Haze,0,0,0,0,0,0
182,24-01-2018 11:30,77,64,55,2.3,NA,SE,2,29.87,NA,NA,NA,NA,NA,,0,0,0,0,0,0
183,24-01-2018 14:30,80,65,52,4.6,NA,South,2,29.78,NA,NA,NA,NA,NA,,0,0,0,0,0,0
184,24-01-2018 17:30,76,68,69,6.9,NA,South,2,29.78,NA,NA,NA,NA,NA,,0,0,0,0,0,0
185,24-01-2018 20:30,75,69,77,5.8,NA,South,2,29.84,NA,NA,NA,NA,NA,,0,0,0,0,0,0
186,24-01-2018 23:30,72,68,84,0,NA,,2,29.84,NA,NA,NA,NA,NA,Haze,0,0,0,0,0,0
187,25-01-2018 02:30,68,65,87,2.3,NA,NNW,1,29.82,NA,NA,NA,NA,NA,Haze,0,0,0,0,0,0
188,25-01-2018 05:30,64,61,88,3.5,NA,NNW,1,29.8,NA,NA,NA,NA,NA,Haze,0,0,0,0,0,0
189,25-01-2018 08:30,66,63,88,3.5,NA,NW,1,29.89,NA,NA,NA,NA,NA,Haze,0,0,0,0,0,0
190,25-01-2018 11:30,79,69,63,2.3,NA,East,2,29.89,NA,NA,NA,NA,NA,Haze,0,0,0,0,0,0
191,25-01-2018 14:30,82,70,59,4.6,NA,East,2,29.79,NA,NA,NA,NA,NA,,0,0,0,0,0,0
192,25-01-2018 17:30,78,70,70,4.6,NA,East,2,29.81,NA,NA,NA,NA,NA,,0,0,0,0,0,0
193,25-01-2018 20:30,75,71,82,0,NA,,2,29.87,NA,NA,NA,NA,NA,,0,0,0,0,0,0
194,25-01-2018 23:30,70,67,88,2.3,NA,NW,1,29.88,NA,NA,NA,NA,NA,Haze,0,0,0,0,0,0
195,26-01-2018 02:30,67,64,88,2.3,NA,NW,1,29.86,NA,NA,NA,NA,NA,Partial Fog,1,0,0,0,0,0
196,26-01-2018 05:30,63,62,97,3.5,NA,NNW,0,29.85,NA,NA,NA,NA,NA,Heavy Fog,1,0,0,0,0,0
197,26-01-2018 08:30,65,64,96,2.3,NA,NNW,0,29.93,NA,NA,NA,NA,NA,Partial Fog,1,0,0,0,0,0
198,26-01-2018 11:30,79,66,55,2.3,NA,East,2,29.93,NA,NA,NA,NA,NA,Haze,0,0,0,0,0,0
199,26-01-2018 14:30,82,70,59,4.6,NA,SE,2,29.83,NA,NA,NA,NA,NA,,0,0,0,0,0,0
200,26-01-2018 17:30,77,69,70,3.5,NA,East,2,29.83,NA,NA,NA,NA,NA,,0,0,0,0,0,0
201,26-01-2018 20:30,75,69,75,0,NA,,2,29.9,NA,NA,NA,NA,NA,,0,0,0,0,0,0
202,26-01-2018 23:30,71,65,76,0,NA,,2,29.9,NA,NA,NA,NA,NA,Haze,0,0,0,0,0,0
203,27-01-2018 02:30,69,64,81,2.3,NA,NW,1,29.87,NA,NA,NA,NA,NA,Haze,0,0,0,0,0,0
204,27-01-2018 05:30,64,61,88,2.3,NA,NW,1,29.87,NA,NA,NA,NA,NA,Haze,0,0,0,0,0,0
205,27-01-2018 08:30,66,64,89,3.5,NA,NNW,1,29.95,NA,NA,NA,NA,NA,Haze,0,0,0,0,0,0
206,27-01-2018 11:30,80,68,58,2.3,NA,East,2,29.95,NA,NA,NA,NA,NA,Haze,0,0,0,0,0,0
207,27-01-2018 14:30,83,67,49,3.5,NA,ESE,2,29.84,NA,NA,NA,NA,NA,,0,0,0,0,0,0
